epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,1980.04,1.04208,1.50702,0.54188,1.04003,0,0.95266,0.94618,0.97167,0.66151,0.95265,0.94618,0.9737,0.57809,1.12691,1.66204,0.4967,1.1521,0,0.000701588,0.000701588,0.000701588
39,2032.17,1.03321,1.47795,0.52722,1.03032,0,0.95361,0.94531,0.97091,0.6647,0.95335,0.94449,0.97183,0.58008,1.12679,1.6179,0.50072,1.15078,0,0.000687222,0.000687222,0.000687222
40,2083.99,1.02111,1.48606,0.53095,1.03554,0,0.94528,0.94871,0.97213,0.66033,0.94399,0.94756,0.96995,0.58624,1.13637,1.60898,0.49344,1.16141,0,0.000672675,0.000672675,0.000672675
41,2136.68,1.02754,1.48471,0.53068,1.03221,0,0.955,0.94187,0.97241,0.66458,0.95557,0.943,0.97353,0.59076,1.12989,1.62826,0.48444,1.15345,0,0.000657963,0.000657963,0.000657963
42,2189.14,1.02888,1.48372,0.51815,1.0297,0,0.94703,0.94212,0.96868,0.66088,0.94546,0.94058,0.96856,0.58214,1.12917,1.63611,0.49299,1.14895,0,0.000643101,0.000643101,0.000643101
43,2241.45,1.02055,1.46929,0.51704,1.02601,0,0.95246,0.94648,0.97027,0.65778,0.95068,0.94553,0.96973,0.58315,1.15222,1.63393,0.49805,1.16231,0,0.000628101,0.000628101,0.000628101
44,2293.39,1.02534,1.47237,0.50567,1.04484,0,0.93642,0.95244,0.96877,0.65644,0.93936,0.95548,0.97409,0.59027,1.14998,1.65919,0.4958,1.16478,0,0.000612981,0.000612981,0.000612981
45,2345.61,1.02558,1.47117,0.51192,1.02646,0,0.94136,0.93868,0.96744,0.65619,0.94335,0.9394,0.97019,0.5753,1.1345,1.63473,0.5081,1.15629,0,0.000597754,0.000597754,0.000597754
46,2396.73,1.01508,1.47176,0.5151,1.02993,0,0.95203,0.94595,0.9727,0.66087,0.95245,0.94791,0.97637,0.58695,1.13781,1.62777,0.48998,1.15706,0,0.000582435,0.000582435,0.000582435
47,2448.71,0.99907,1.44449,0.49768,1.01924,0,0.95089,0.93822,0.96918,0.65853,0.95255,0.93947,0.97197,0.58924,1.14146,1.63537,0.49391,1.16328,0,0.00056704,0.00056704,0.00056704
48,2500.79,0.99915,1.4424,0.49685,1.01811,0,0.94633,0.94419,0.96839,0.65894,0.9469,0.94516,0.96945,0.56876,1.13859,1.62356,0.49786,1.15791,0,0.000551584,0.000551584,0.000551584
49,2552.84,0.99085,1.44811,0.48994,1.02197,0,0.95087,0.945,0.96549,0.65515,0.95132,0.94567,0.9684,0.57636,1.13816,1.62941,0.50066,1.15922,0,0.000536081,0.000536081,0.000536081
